ds,after_mode,amount_final
2023/9/5,bike,14.10266269
2023/9/6,bike,14.46691042
2023/9/7,bike,15.0536339
2023/9/8,bike,13.46254394
2023/9/9,bike,11.87145397
2023/9/10,bike,12.18946682
2023/9/11,bike,15.07332512
2023/9/12,bike,15.50200171
2023/9/13,bike,15.21071332
2023/9/14,bike,14.5494783
2023/9/15,bike,13.65960971
2023/9/16,bike,12.76974112
2023/9/17,bike,13.32957328
2023/9/18,bike,14.97198517
2023/9/19,bike,16.03226659
2023/9/20,bike,16.07998149
2023/9/21,bike,16.05882616
2023/9/22,bike,14.59623612
2023/9/23,bike,13.13364609
2023/9/24,bike,13.27962477
2023/9/25,bike,14.75536791
2023/9/26,bike,14.86828114
2023/9/27,bike,15.78681974
2023/9/28,bike,15.08332039
2023/9/29,bike,10.7361738
2023/9/30,bike,9.891530483
2023/10/1,bike,15.11907049
2023/10/2,bike,15.10848797
2023/10/3,bike,15.21321571
2023/10/4,bike,15.31794344
2023/10/5,bike,16.74931106
2023/10/6,bike,16.81337831
2023/10/7,bike,16.87744555
2023/10/8,bike,13.25076274
2023/10/9,bike,15.21593147
2023/10/10,bike,15.84654234
2023/10/11,bike,15.2694062
2023/10/12,bike,15.21799692
2023/10/13,bike,15.16658763
2023/10/14,bike,15.1885264
2023/10/15,bike,15.55868084
2023/10/16,bike,14.84088787
2023/10/17,bike,15.40288145
2023/10/18,bike,14.69714916
2023/10/19,bike,14.42265882
2023/10/20,bike,14.10138112
2023/10/21,bike,13.95576577
2023/10/22,bike,13.92479404
2023/10/23,bike,13.89382232
2023/10/24,bike,14.44009128
2023/10/25,bike,14.543345
2023/10/26,bike,14.48623345
2023/10/27,bike,13.38375772
2023/10/28,bike,13.35849424
2023/10/29,bike,13.35789926
2023/10/30,bike,13.35841065
2023/10/31,bike,13.35892203
2023/11/1,bike,14.05835415
2023/11/2,bike,13.56270583
2023/11/3,bike,13.73274338
2023/11/4,bike,13.90278092
2023/11/5,bike,15.02132776
2023/11/6,bike,15.97193906
2023/11/7,bike,17.43104593
2023/11/8,bike,18.46678707
2023/11/9,bike,15.90202924
2023/11/10,bike,14.91972283
2023/11/11,bike,14.97116234
2023/11/12,bike,15.02260185
2023/11/13,bike,15.37746325
2023/11/14,bike,15.70182868
2023/11/15,bike,15.35526887
2023/11/16,bike,15.38749439
2023/11/17,bike,15.15598656
2023/11/18,bike,15.15654956
2023/11/19,bike,15.15711255
2023/11/20,bike,15.73520898
2023/11/21,bike,15.78006482
2023/11/22,bike,15.68194357
2023/11/23,bike,16.69836778
2023/11/24,bike,16.31645386
2023/11/25,bike,16.28834994
2023/11/26,bike,16.26024601
2023/11/27,bike,17.42914427
2023/11/28,bike,17.43879838
2023/11/29,bike,16.30329645
2023/11/30,bike,15.78054831
2023/12/1,bike,15.52186291
